,sigma,theta,nu,env: rf,env: S0
2024-11-22,0.006059807532814954,7.614121751535947e-05,0.7727677338785127,0.00018303236589400917,5969.34
2024-11-29,0.00692643626975048,2.797464300216519e-05,0.772693170730114,0.00018454811282642147,6032.38
2024-12-06,0.008893878691097807,-6.588876164473955e-05,0.7730882646636811,0.00017734317432438473,6090.27
2024-12-13,0.005127175858592864,6.325178328532958e-05,0.7727744015235088,0.0001720259237441013,6051.09
2024-12-20,0.006723960750495458,-8.888351991049635e-06,0.7725016938184333,0.0001720259237441013,5930.85
2024-12-27,0.005916703624628524,-9.43365995296778e-05,0.7727911773952705,0.00017240596275103215,5970.84
2019-01-04,0.010160212807669466,1.664281598120671e-05,0.7721971781636451,9.411762964850467e-05,2531.94
2019-01-11,0.010935228304483116,2.9176179518340477e-05,0.7995897770196264,9.450517207554299e-05,2596.26
2019-01-18,0.009235661041259675,-8.518519337369218e-06,0.7721602303844953,9.411762964850467e-05,2670.71
2019-01-25,0.010682454506423725,0.00015168554316009387,0.7718998856938152,9.256708289151483e-05,2664.76
2019-02-01,0.010062444853748733,2.119479695421278e-05,0.7722260920072407,9.450517207554299e-05,2706.53
2019-02-08,0.010785940216862133,-4.96531259324641e-06,0.7722585444600303,9.52801438660611e-05,2707.88
2019-02-15,0.010515328169880055,-1.0476242566103267e-06,0.7723469840223496,9.52801438660611e-05,2775.6
2019-02-22,0.008586279940484016,2.0460255582348976e-06,0.7464459983945805,9.52801438660611e-05,2792.67
2019-03-01,0.008173210264932835,2.4670944338822108e-05,0.7721724588521851,9.566757324419584e-05,2803.69
2019-03-08,0.008465179879238671,5.503472225974797e-06,0.7737111707153579,9.605496495423971e-05,2743.07
2019-03-15,0.009459481209071073,-7.167994387736911e-06,0.772392004646599,9.644231900329814e-05,2822.48
2019-03-22,0.011354663356658771,-4.047305453954608e-05,0.7722776536540645,9.760415525894572e-05,2800.71
2019-03-29,0.00896069185803519,-3.597660429038155e-06,0.7704418540556673,9.52801438660611e-05,2834.4
2019-04-05,0.007685278730804025,8.360574179400638e-06,0.7722399154404257,9.489267681228597e-05,2892.74
2019-04-12,0.011327003203500594,-6.832540488575747e-05,0.772456318722093,9.450517207554299e-05,2907.41
