,mu,omega,alpha[1],gamma[1],beta[1]
2023-02-13,0.05457015439836222,0.044095689371056394,0.09477108516477842,0.1935439835239859,0.7899384249832749
2023-02-14,0.05381209372999499,0.04412367926125408,0.09435505973635357,0.19360982648933414,0.7901003568700085
2023-02-15,0.05351436165961008,0.0441464701999296,0.09411088756849252,0.1943941915312209,0.7897915684225209
2023-02-16,0.051656357127064526,0.044004583308986975,0.09336438528919604,0.19400134316808956,0.7910635712559358
2023-02-17,0.05080603615996356,0.04390432612231593,0.09303929328826184,0.19297385057654218,0.7916835965889645
2023-02-21,0.049812525560181106,0.04398278388475235,0.09257389288090975,0.19623819718978716,0.7913110148075704
2023-02-22,0.04989407814563502,0.04382253512434443,0.09222582304645564,0.19438257654509195,0.7921711292939618
2023-02-23,0.05016350863767763,0.04376926962024121,0.09225615857809147,0.19315128125333927,0.7924208977125862
2023-02-24,0.049629400004915926,0.043878359494657675,0.09229800241879649,0.19398137887354627,0.7919418232544907
2023-02-27,0.049011148474377264,0.04384479869247676,0.09221495785534815,0.1926903605934676,0.7923820275835117
2023-02-28,0.048411738988291396,0.043881003637786783,0.09240998157787017,0.19190455570730375,0.7923599408515315
2023-03-01,0.04865246676310644,0.043954646810988686,0.09261356513651228,0.19198051494813365,0.7920780222894676
2023-03-02,0.04959003174792395,0.04399725027134023,0.09297518981291099,0.19166774158402877,0.7917875632679877
2023-03-03,0.05158098994707882,0.0439682395352624,0.09233457807690501,0.1921909803008436,0.7923836867104065
2023-03-06,0.05117713728017504,0.04391506711315442,0.09213423546148516,0.19281988954099552,0.7921767274955951
2023-03-07,0.04949109249390807,0.04371065922125484,0.09195630330388109,0.19215174305700214,0.7931942919341844
2023-03-08,0.04935128050089111,0.04352308359162773,0.09190725617481427,0.1908390069189967,0.7936585337187761
2023-03-09,0.048557413312458574,0.043531208180368,0.09216546342314143,0.19270052700538792,0.7931355423728207
2023-03-10,0.048099074741244516,0.04348803034402261,0.09235887073241786,0.1926568915045881,0.7930291634990301
2023-03-13,0.047277399513416765,0.04339729720864864,0.09221612627264622,0.19071243262841758,0.7938450354454973
2023-03-14,0.048208806739499475,0.04324325879897367,0.0925833686169203,0.1898892156682135,0.7938921405268998
2023-03-15,0.048352921680046075,0.04317155416481991,0.09260084236304171,0.1887040519209811,0.794186153787996
2023-03-16,0.04947261251119831,0.04310371569783032,0.09326634826965821,0.18838739525418674,0.7938210150750373
2023-03-17,0.049458375087688,0.04315240755619573,0.09381738399820248,0.1879291034261145,0.7933846770369076
2023-03-20,0.0500623886619471,0.04326166991818405,0.094448223809144,0.18715705370335767,0.792811379243221
2023-03-21,0.05073349284103116,0.04312963168634636,0.09429529388640984,0.18595954558346336,0.7934337750985814
2023-03-22,0.050504165171631414,0.04332339182871393,0.09584334135091023,0.1866145567649442,0.7919711580945238
2023-03-23,0.05092522384683968,0.04354994540644939,0.0964620243733446,0.186018252097673,0.7912129492743486
2023-03-24,0.05136529709682205,0.043194261165644794,0.09580745901866874,0.18560608709711193,0.7922944066547482
